iter	Passed	Remaining
399	50167	12541
400	50277	12412
401	50384	12282
402	50496	12154
403	50598	12023
404	50703	11893
405	50815	11765
406	50923	11636
407	51026	11505
408	51138	11378
409	51247	11249
410	51377	11125
411	51477	10995
412	51583	10866
413	51683	10736
414	51780	10605
415	51881	10475
416	51982	10346
417	52081	10216
418	52195	10090
419	52311	9964
420	52426	9837
421	52537	9710
422	52658	9585
423	52769	9458
424	52893	9334
425	52994	9205
426	53106	9079
427	53238	8956
428	53339	8827
429	53461	8702
430	53577	8577
431	53711	8454
432	53821	8328
433	53934	8201
434	54033	8073
435	54141	7947
436	54285	7825
437	54397	7700
438	54516	7575
439	54617	7447
440	54748	7324
441	54850	7197
442	54964	7072
443	55071	6945
444	55183	6820
445	55292	6694
446	55408	6569
447	55512	6443
448	55612	6316
449	55710	6190
450	55816	6064
451	55917	5938
452	56036	5813
453	56154	5689
454	56269	5565
455	56372	5439
456	56471	5313
457	56572	5187
458	56693	5064
459	56800	4939
460	56934	4816
461	57036	4691
462	57136	4565
463	57236	4440
464	57357	4317
465	57467	4192
466	57599	4070
467	57694	3944
468	57822	3821
469	57931	3697
470	58034	3573
471	58140	3449
472	58241	3324
473	58361	3201
474	58479	3077
475	58578	2953
476	58693	2830
477	58806	2706
478	58904	2582
479	59019	2459
480	59119	2335
481	59228	2211
482	59343	2088
483	59464	1965
484	59583	1842
485	59695	1719
486	59805	1596
487	59926	1473
488	60028	1350
489	60136	1227
490	60240	1104
491	60350	981
492	60453	858
493	60552	735
494	60676	612
495	60794	490
496	60896	367
497	61017	245
498	61121	122
499	61225	0
