iter	Accuracy	MultiClass
119	0.9797916667	0.1094094921
120	0.9798214286	0.1091259184
121	0.9800297619	0.1084579104
122	0.9800892857	0.1078133574
123	0.9800892857	0.1076340884
124	0.9802678571	0.1072856721
125	0.9804761905	0.1068572053
126	0.9805357143	0.1066164362
127	0.9806845238	0.1058892096
128	0.9807440476	0.1055842445
129	0.9809821429	0.104653858
130	0.9809821429	0.104181148
131	0.9809821429	0.1039533924
132	0.9810119048	0.1037847174
133	0.980922619	0.1035261608
134	0.9809821429	0.1031365531
135	0.9811309524	0.1027275376
136	0.9813690476	0.1015204148
137	0.9815178571	0.1008153062
138	0.9816369048	0.1005939302
139	0.9816964286	0.1002673485
140	0.9817261905	0.1002110363
141	0.981875	0.09961495536
142	0.9817857143	0.0994682748
143	0.9820535714	0.09888494582
144	0.9822619048	0.09839523315
145	0.982202381	0.09829019456
146	0.9822619048	0.09812576294
147	0.9822321429	0.09776997884
148	0.9822321429	0.09765693301
149	0.9823214286	0.09743315924
150	0.9822916667	0.09688789004
151	0.9823511905	0.09639767601
152	0.9824702381	0.09603251866
153	0.9825595238	0.09572465442
154	0.9825892857	0.09558772496
155	0.9826488095	0.09535263062
156	0.9826488095	0.09525628953
157	0.9827380952	0.09499051775
158	0.9826785714	0.09484403338
159	0.9827083333	0.09476170131
160	0.9826190476	0.09446871803
161	0.9827083333	0.09435897101
162	0.9827678571	0.09418907529
163	0.9827083333	0.0940977696
164	0.9828869048	0.09370949881
165	0.9829166667	0.09345676967
166	0.9829761905	0.09314915248
167	0.9829761905	0.09285816738
168	0.9829464286	0.09280845279
169	0.9829464286	0.09275982085
170	0.9830059524	0.09207989647
171	0.9830059524	0.09186079479
172	0.9830357143	0.09181501116
173	0.9833333333	0.09139175415
174	0.9833928571	0.09135206677
175	0.983422619	0.09112046015
176	0.9835119048	0.09098680769
177	0.9835119048	0.09071402414
178	0.9836011905	0.09062702724
179	0.9835416667	0.09047549293
180	0.9834821429	0.090427544
181	0.9835119048	0.09034803845
182	0.9835714286	0.09005458287
183	0.9836607143	0.08973916917
184	0.9837202381	0.08959309169
185	0.9837202381	0.0895140003
186	0.98375	0.08945064
187	0.9837797619	0.08934404646
188	0.9838095238	0.0892755127
189	0.9838392857	0.08904373169
190	0.9838690476	0.08871689569
191	0.9838988095	0.08860026042
192	0.9839880952	0.08841331119
193	0.9839583333	0.08812511626
194	0.9840178571	0.08804263887
195	0.9840178571	0.08794416882
196	0.984077381	0.08757615589
197	0.9841369048	0.08730305263
198	0.9839285714	0.08678941999
199	0.9841369048	0.08651489258
200	0.9841369048	0.0864402771
201	0.9841964286	0.08590580532
202	0.9842559524	0.08579561506
203	0.9844047619	0.08544767107
204	0.9844345238	0.08527062552
205	0.9844642857	0.08497491019
206	0.9844940476	0.08479818435
207	0.9844940476	0.08455927531
208	0.9845833333	0.08427125477
209	0.9845833333	0.08413437616
210	0.9846130952	0.08410465785
211	0.9846130952	0.08395517985
212	0.9848809524	0.08359844389
213	0.9848809524	0.08297682989
214	0.9849404762	0.08297366188
215	0.9849702381	0.08276061285
216	0.9848511905	0.08257763091
217	0.9849702381	0.08211498442
218	0.9852380952	0.08187981742
219	0.9852380952	0.08169022333
220	0.9852083333	0.0815284947
221	0.9851785714	0.08133514404
222	0.9852083333	0.08126860846
223	0.9853571429	0.08101282029
224	0.9853571429	0.08089428856
225	0.9854166667	0.08080245245
226	0.9853571429	0.08064894177
227	0.9854464286	0.08046555292
228	0.9854761905	0.08038133894
229	0.9855952381	0.0802503168
230	0.9856845238	0.07977827526
